SL,title,company,location,salary,summary
160,Senior Software Engineer (Full Stack/ Developer Tools),SpaceX,"Hawthorne, CA 90250 (North Hawthorne area)",,"Senior Software Engineer (Full Stack / Developer Tools).
Software Delivery Engineering develops the infrastructure which allows engineers across the company to…"
161,Virtual Production Software Engineer (Unreal Engine),Warner Bros. Entertainment Group,"Burbank, CA",,"WarnerMedia is looking for a Virtual Production Software Engineer to develop core technology for real-time filmmaking.
Experience at VFX facility is a plus."
162,"Staff Software Engineer, HCX Los Angeles, CA",NSBU,"Los Angeles, CA",,"Senior hands on software lead developer who has been involved in the design and development of scaled cloud services.
Experience in Cloud Native Architectures."
163,Sr. Front-End Software Development Engineer,Atom Tickets,"Santa Monica, CA",,"We build large-scale distributed software systems in Scala, Java, Python and other languages.
Responsible for design, code, configuration, QA and implementation…"
164,Software Engineer: UI-focused Fullstack,Cover Technologies,"Gardena, CA",,"We're looking for someone to design, architect, and implement web applications for both client-facing and internal use."
165,2021 Talent Development Program - Technical Director Trainee,Walt Disney Animation Studios,"Burbank, CA",,"Emerging developers with less than 5 years experience in the Animation Industry.
You will work directly with artists and software developers to solve problems…"
166,DevOps Engineer,Kinect,"El Segundo, CA 90245",,"Contribute improvements within EZR’ s product, and our core infrastructure with custom integration solutions, automation, and scripts, including enhancements,…"
167,"Quantum Software Engineer, Test and Measurement","Amazon Dev Center U.S., Inc.","Glendale, CA",,"You must be comfortable working in an environment where non-software developers actively contribute to the code base, and be willing to provide mentorship…"
168,Principal Software Engineer (Clearance Required),Northrop Grumman,"Azusa, CA 91702",,"Northrop Grumman Space Systems Sector is seeking experienced Software Engineers level 3 to join our diverse team, developing, enhancing and maintaining…"
169,"Senior Software Engineer, Information Security",Fox Corporation,"Los Angeles, CA 90036 (Mid City area)",,"A core focus for this role will be on driving automation, codification of processes, building unique services enable business devs to be more secure, and…"
170,DEV-OPS ENGINEER,Super Bit Machine,"Santa Monica, CA",,"Good grasp of scripting languages for sysadmin/automation (Bash shell, python, ruby).
Super Bit Machine makes competitive multiplayer arena shooters that unite…"
171,Backend Engineer,ChowNow,"Los Angeles, CA (Playa Vista area)",,"Have participated in the architecture and implementation of new developer and user-facing features.
The RESTful APIs we develop enable multiple client-facing…"
172,Infrastructure Software Engineer II,Verizon Media,"Los Angeles, CA",,The team is composed of software and system engineers with the goal of automating the server provisioning & configuration for tens of thousands of Linux systems…
173,"Flight Software Engineer II, TS/SCI",Jet Propulsion Laboratory,"La Cañada Flintridge, CA 91011",,"Work with the FIT team, software developers, and system engineers to define test cases, test scenarios, and expected test results."
174,Fall 2020 - Application Development Intern (Machine Learning...,ADP,"Pasadena, CA",,"At ADP, we'll set you up for success with the tools and technology, and have you work alongside seasoned professionals who will guide and support you to enhance…"
175,"Senior Software Engineer - Motion Planning, Prediction",Motional,"Santa Monica, CA",,"Motional's Machine Learning team behind ground breaking advancements in the autonomous vehicle industry including nuScenes (https://www.nuscenes.org),…"
176,"Senior Backend Engineer (LA, NYC, or Remote US)",Albert,"Los Angeles, CA 91401 (Sherman Oaks area)",,"Albert is a new type of financial service that uses powerful technology to automate your finances, with a team of human experts to guide you."
177,Senior Machine Learning Engineer,Q-CTRL,"Los Angeles, CA",,"You have extensively used python packages for machine learning, including scikit-learn and Tensorflow.
Reporting to the Head of US, the Senior Machine Learning…"
178,Automation & Controls Engineer (Starlink),SpaceX,"Hawthorne, CA 90250 (North Hawthorne area)",,"NET, python and/or SQL experience.
SpaceX is developing a low latency, broadband internet system to meet the needs of consumers across the globe."
179,Senior Backend-leaning Full Stack Engineer,PacketFabric,"Culver City, CA 90232 (Blair Hills area)",,"Designing a deterministic lifecycle workflow for our next product offering.
Writing core platform code for a new feature, and unit tests for functionality."
180,Sr. Software Engineer-Modeling & Algorithm Development,Medtronic,"Northridge, CA 91325",,Development of embedded software and algorithms for automating insulin delivery therapies to maximize safety and minimize user burden.
181,"Senior Software Engineer (LA, NYC, or Remote US)",Albert,"Los Angeles, CA 91401 (Sherman Oaks area)",,"Albert is a new type of financial service that uses powerful technology to automate your finances, with a team of human experts to guide you."
182,Software Designer,"Tecolote Research, Inc.","El Segundo, CA",,"Skills Required: Product “Full Stack” Designers ensure we are building products that meet user needs.
Sometimes referred to as an “Empathizer in Chief”, Product…"
183,Graphics Software Developer,The Aerospace Corporation,"El Segundo, CA 90245",,"VITD develops a wide variety of visualization applications using commercial UI frameworks and game engines to support civil, commercial, and national security…"
184,Android Engineer,ChowNow,"Los Angeles, CA (Playa Vista area)",,"You will be involved from design to delivery of new features and be responsible for measuring the success of the product.
Pet insurance for your fur babies."
185,Staff Software Engineer - TS/SCI,Northrop Grumman,"Redondo Beach, CA 90278",,"Designs, develops, documents, tests and debugs applications software and systems that contain logical and mathematical solutions."
186,"Software Development Engineer, Amazon Studios",Amazon.com Services LLC,"Santa Monica, CA",,"2+ years of non-internship professional software development experience.
Programming experience with at least one modern language such as Java, C++, or C#…"
187,Software Engineer – Kernel/Embedded,Radian Memory Systems,"Calabasas, CA 91302",,"Familiarity with test tools and frameworks (e.g., jenkins) or scripting (e.g., python).
Will design, develop and debug complex software and firmware in C in…"
188,"Manager of Software Engineering, Flight",Relativity Space,"Long Beach, CA",,"Relativity is looking for an experienced software engineering manager to lead our Flight Software team.
This position will be responsible for managing the teams…"
189,Senior Software Engineer - Python,Endpoint Closing,"El Segundo, CA",,"Work with a cross-functional team to deliver timely, high quality, and well-tested code.
Help define and enforce standards regarding code quality and test…"
190,Test Software Engineer (Satellites),SpaceX,"Hawthorne, CA 90250 (North Hawthorne area)",,"As a Test Software Engineer, you will have the unique opportunity to design and develop test systems for all the electronic hardware on our satellites."
191,Hardware-in-the-Loop (HIL) Systems & Automation Engineer,Virgin Hyperloop,"Los Angeles, CA",,"The Software Test Engineering group at Virgin Hyperloop automates measurement and control processes for test applications and collects, organizes, stores, and…"
192,Build and Release Engineer,Laserfiche,"Long Beach, CA 90807 (Los Cerritos Area area)",,"3+ years of experience as a software tester, developer, or build and release engineer.
You will liaise with many scrum teams, the Release Manager, localization…"
